date,hospital_id,hospital_name,medicine_name,opening_stock,received,issued,closing_stock,lead_time_days,min_stock_level
2024-12-08,H001,City General Hospital,Paracetamol 500mg,500,0,45,455,3,100
2024-12-08,H001,City General Hospital,Amoxicillin 250mg,300,0,25,275,5,80
2024-12-08,H001,City General Hospital,Ibuprofen 400mg,200,0,30,170,3,60
2024-12-08,H001,City General Hospital,Insulin Injection,150,0,10,140,7,50
2024-12-08,H001,City General Hospital,Metformin 500mg,400,0,35,365,4,100
2024-12-08,H001,City General Hospital,Aspirin 75mg,350,0,28,322,3,90
2024-12-08,H001,City General Hospital,Omeprazole 20mg,280,0,22,258,4,70
2024-12-08,H001,City General Hospital,Atorvastatin 10mg,220,0,18,202,5,60
2024-12-08,H001,City General Hospital,Ceftriaxone 1g Injection,180,0,15,165,7,40
2024-12-08,H001,City General Hospital,Ciprofloxacin 500mg,250,0,20,230,4,80
2024-12-08,H002,Riverside Medical Center,Paracetamol 500mg,600,0,50,550,3,100
2024-12-08,H002,Riverside Medical Center,Amoxicillin 250mg,250,0,30,220,5,80
2024-12-08,H002,Riverside Medical Center,Ibuprofen 400mg,180,0,25,155,3,60
2024-12-08,H002,Riverside Medical Center,Insulin Injection,120,0,12,108,7,50
2024-12-08,H002,Riverside Medical Center,Metformin 500mg,350,0,40,310,4,100
2024-12-08,H002,Riverside Medical Center,Aspirin 75mg,300,0,32,268,3,90
2024-12-08,H002,Riverside Medical Center,Omeprazole 20mg,240,0,25,215,4,70
2024-12-08,H002,Riverside Medical Center,Atorvastatin 10mg,190,0,20,170,5,60
2024-12-08,H002,Riverside Medical Center,Ceftriaxone 1g Injection,150,0,18,132,7,40
2024-12-08,H002,Riverside Medical Center,Ciprofloxacin 500mg,220,0,22,198,4,80
2024-12-08,H003,Metro District Hospital,Paracetamol 500mg,450,0,42,408,3,100
2024-12-08,H003,Metro District Hospital,Amoxicillin 250mg,280,0,28,252,5,80
2024-12-08,H003,Metro District Hospital,Ibuprofen 400mg,160,0,27,133,3,60
2024-12-08,H003,Metro District Hospital,Insulin Injection,140,0,11,129,7,50
2024-12-08,H003,Metro District Hospital,Metformin 500mg,380,0,38,342,4,100
2024-12-08,H003,Metro District Hospital,Aspirin 75mg,320,0,30,290,3,90
2024-12-08,H003,Metro District Hospital,Omeprazole 20mg,260,0,24,236,4,70
2024-12-08,H003,Metro District Hospital,Atorvastatin 10mg,200,0,19,181,5,60
2024-12-08,H003,Metro District Hospital,Ceftriaxone 1g Injection,160,0,16,144,7,40
2024-12-08,H003,Metro District Hospital,Ciprofloxacin 500mg,240,0,21,219,4,80
2024-12-09,H001,City General Hospital,Paracetamol 500mg,455,0,48,407,3,100
2024-12-09,H001,City General Hospital,Amoxicillin 250mg,275,0,28,247,5,80
2024-12-09,H001,City General Hospital,Ibuprofen 400mg,170,0,32,138,3,60
2024-12-09,H001,City General Hospital,Insulin Injection,140,0,11,129,7,50
2024-12-09,H001,City General Hospital,Metformin 500mg,365,0,38,327,4,100
2024-12-09,H001,City General Hospital,Aspirin 75mg,322,0,29,293,3,90
2024-12-09,H001,City General Hospital,Omeprazole 20mg,258,0,23,235,4,70
2024-12-09,H001,City General Hospital,Atorvastatin 10mg,202,0,19,183,5,60
2024-12-09,H001,City General Hospital,Ceftriaxone 1g Injection,165,0,16,149,7,40
2024-12-09,H001,City General Hospital,Ciprofloxacin 500mg,230,0,21,209,4,80
2024-12-09,H002,Riverside Medical Center,Paracetamol 500mg,550,0,52,498,3,100
2024-12-09,H002,Riverside Medical Center,Amoxicillin 250mg,220,0,32,188,5,80
2024-12-09,H002,Riverside Medical Center,Ibuprofen 400mg,155,0,28,127,3,60
2024-12-09,H002,Riverside Medical Center,Insulin Injection,108,0,13,95,7,50
2024-12-09,H002,Riverside Medical Center,Metformin 500mg,310,0,42,268,4,100
2024-12-09,H002,Riverside Medical Center,Aspirin 75mg,268,0,33,235,3,90
2024-12-09,H002,Riverside Medical Center,Omeprazole 20mg,215,0,26,189,4,70
2024-12-09,H002,Riverside Medical Center,Atorvastatin 10mg,170,0,21,149,5,60
2024-12-09,H002,Riverside Medical Center,Ceftriaxone 1g Injection,132,0,19,113,7,40
2024-12-09,H002,Riverside Medical Center,Ciprofloxacin 500mg,198,0,23,175,4,80
2024-12-09,H003,Metro District Hospital,Paracetamol 500mg,408,0,44,364,3,100
2024-12-09,H003,Metro District Hospital,Amoxicillin 250mg,252,0,29,223,5,80
2024-12-09,H003,Metro District Hospital,Ibuprofen 400mg,133,0,29,104,3,60
2024-12-09,H003,Metro District Hospital,Insulin Injection,129,0,12,117,7,50
2024-12-09,H003,Metro District Hospital,Metformin 500mg,342,0,39,303,4,100
2024-12-09,H003,Metro District Hospital,Aspirin 75mg,290,0,31,259,3,90
2024-12-09,H003,Metro District Hospital,Omeprazole 20mg,236,0,25,211,4,70
2024-12-09,H003,Metro District Hospital,Atorvastatin 10mg,181,0,20,161,5,60
2024-12-09,H003,Metro District Hospital,Ceftriaxone 1g Injection,144,0,17,127,7,40
2024-12-09,H003,Metro District Hospital,Ciprofloxacin 500mg,219,0,22,197,4,80
2024-12-10,H001,City General Hospital,Paracetamol 500mg,407,200,50,557,3,100
2024-12-10,H001,City General Hospital,Amoxicillin 250mg,247,0,26,221,5,80
2024-12-10,H001,City General Hospital,Ibuprofen 400mg,138,0,35,103,3,60
2024-12-10,H001,City General Hospital,Insulin Injection,129,0,9,120,7,50
2024-12-10,H001,City General Hospital,Metformin 500mg,327,0,36,291,4,100
2024-12-10,H001,City General Hospital,Aspirin 75mg,293,0,30,263,3,90
2024-12-10,H001,City General Hospital,Omeprazole 20mg,235,0,24,211,4,70
2024-12-10,H001,City General Hospital,Atorvastatin 10mg,183,0,18,165,5,60
2024-12-10,H001,City General Hospital,Ceftriaxone 1g Injection,149,0,15,134,7,40
2024-12-10,H001,City General Hospital,Ciprofloxacin 500mg,209,0,20,189,4,80
2024-12-10,H002,Riverside Medical Center,Paracetamol 500mg,498,0,55,443,3,100
2024-12-10,H002,Riverside Medical Center,Amoxicillin 250mg,188,0,29,159,5,80
2024-12-10,H002,Riverside Medical Center,Ibuprofen 400mg,127,0,30,97,3,60
2024-12-10,H002,Riverside Medical Center,Insulin Injection,95,0,14,81,7,50
2024-12-10,H002,Riverside Medical Center,Metformin 500mg,268,0,45,223,4,100
2024-12-10,H002,Riverside Medical Center,Aspirin 75mg,235,0,34,201,3,90
2024-12-10,H002,Riverside Medical Center,Omeprazole 20mg,189,0,27,162,4,70
2024-12-10,H002,Riverside Medical Center,Atorvastatin 10mg,149,0,22,127,5,60
2024-12-10,H002,Riverside Medical Center,Ceftriaxone 1g Injection,113,0,20,93,7,40
2024-12-10,H002,Riverside Medical Center,Ciprofloxacin 500mg,175,0,24,151,4,80
2024-12-10,H003,Metro District Hospital,Paracetamol 500mg,364,0,46,318,3,100
2024-12-10,H003,Metro District Hospital,Amoxicillin 250mg,223,0,30,193,5,80
2024-12-10,H003,Metro District Hospital,Ibuprofen 400mg,104,0,31,73,3,60
2024-12-10,H003,Metro District Hospital,Insulin Injection,117,0,13,104,7,50
2024-12-10,H003,Metro District Hospital,Metformin 500mg,303,0,40,263,4,100
2024-12-10,H003,Metro District Hospital,Aspirin 75mg,259,0,32,227,3,90
2024-12-10,H003,Metro District Hospital,Omeprazole 20mg,211,0,26,185,4,70
2024-12-10,H003,Metro District Hospital,Atorvastatin 10mg,161,0,21,140,5,60
2024-12-10,H003,Metro District Hospital,Ceftriaxone 1g Injection,127,0,18,109,7,40
2024-12-10,H003,Metro District Hospital,Ciprofloxacin 500mg,197,0,23,174,4,80
2024-12-11,H001,City General Hospital,Paracetamol 500mg,557,0,47,510,3,100
2024-12-11,H001,City General Hospital,Amoxicillin 250mg,221,0,30,191,5,80
2024-12-11,H001,City General Hospital,Ibuprofen 400mg,103,0,33,70,3,60
2024-12-11,H001,City General Hospital,Insulin Injection,120,0,10,110,7,50
2024-12-11,H001,City General Hospital,Metformin 500mg,291,0,39,252,4,100
2024-12-11,H001,City General Hospital,Aspirin 75mg,263,0,31,232,3,90
2024-12-11,H001,City General Hospital,Omeprazole 20mg,211,0,25,186,4,70
2024-12-11,H001,City General Hospital,Atorvastatin 10mg,165,0,19,146,5,60
2024-12-11,H001,City General Hospital,Ceftriaxone 1g Injection,134,0,16,118,7,40
2024-12-11,H001,City General Hospital,Ciprofloxacin 500mg,189,0,21,168,4,80
2024-12-11,H002,Riverside Medical Center,Paracetamol 500mg,443,0,48,395,3,100
2024-12-11,H002,Riverside Medical Center,Amoxicillin 250mg,159,0,31,128,5,80
2024-12-11,H002,Riverside Medical Center,Ibuprofen 400mg,97,0,27,70,3,60
2024-12-11,H002,Riverside Medical Center,Insulin Injection,81,0,15,66,7,50
2024-12-11,H002,Riverside Medical Center,Metformin 500mg,223,0,43,180,4,100
2024-12-11,H002,Riverside Medical Center,Aspirin 75mg,201,0,35,166,3,90
2024-12-11,H002,Riverside Medical Center,Omeprazole 20mg,162,0,28,134,4,70
2024-12-11,H002,Riverside Medical Center,Atorvastatin 10mg,127,0,23,104,5,60
2024-12-11,H002,Riverside Medical Center,Ceftriaxone 1g Injection,93,0,21,72,7,40
2024-12-11,H002,Riverside Medical Center,Ciprofloxacin 500mg,151,0,25,126,4,80
2024-12-11,H003,Metro District Hospital,Paracetamol 500mg,318,0,48,270,3,100
2024-12-11,H003,Metro District Hospital,Amoxicillin 250mg,193,0,32,161,5,80
2024-12-11,H003,Metro District Hospital,Ibuprofen 400mg,73,0,33,40,3,60
2024-12-11,H003,Metro District Hospital,Insulin Injection,104,0,14,90,7,50
2024-12-11,H003,Metro District Hospital,Metformin 500mg,263,0,41,222,4,100
2024-12-11,H003,Metro District Hospital,Aspirin 75mg,227,0,33,194,3,90
2024-12-11,H003,Metro District Hospital,Omeprazole 20mg,185,0,27,158,4,70
2024-12-11,H003,Metro District Hospital,Atorvastatin 10mg,140,0,22,118,5,60
2024-12-11,H003,Metro District Hospital,Ceftriaxone 1g Injection,109,0,19,90,7,40
2024-12-11,H003,Metro District Hospital,Ciprofloxacin 500mg,174,0,24,150,4,80
2024-12-12,H001,City General Hospital,Paracetamol 500mg,510,0,46,464,3,100
2024-12-12,H001,City General Hospital,Amoxicillin 250mg,191,0,27,164,5,80
2024-12-12,H001,City General Hospital,Ibuprofen 400mg,70,150,31,189,3,60
2024-12-12,H001,City General Hospital,Insulin Injection,110,0,11,99,7,50
2024-12-12,H001,City General Hospital,Metformin 500mg,252,0,37,215,4,100
2024-12-12,H001,City General Hospital,Aspirin 75mg,232,0,29,203,3,90
2024-12-12,H001,City General Hospital,Omeprazole 20mg,186,0,23,163,4,70
2024-12-12,H001,City General Hospital,Atorvastatin 10mg,146,0,18,128,5,60
2024-12-12,H001,City General Hospital,Ceftriaxone 1g Injection,118,0,15,103,7,40
2024-12-12,H001,City General Hospital,Ciprofloxacin 500mg,168,0,20,148,4,80
2024-12-12,H002,Riverside Medical Center,Paracetamol 500mg,395,0,51,344,3,100
2024-12-12,H002,Riverside Medical Center,Amoxicillin 250mg,128,100,33,195,5,80
2024-12-12,H002,Riverside Medical Center,Ibuprofen 400mg,70,0,29,41,3,60
2024-12-12,H002,Riverside Medical Center,Insulin Injection,66,0,12,54,7,50
2024-12-12,H002,Riverside Medical Center,Metformin 500mg,180,0,41,139,4,100
2024-12-12,H002,Riverside Medical Center,Aspirin 75mg,166,100,33,233,3,90
2024-12-12,H002,Riverside Medical Center,Omeprazole 20mg,134,0,26,108,4,70
2024-12-12,H002,Riverside Medical Center,Atorvastatin 10mg,104,0,21,83,5,60
2024-12-12,H002,Riverside Medical Center,Ceftriaxone 1g Injection,72,0,19,53,7,40
2024-12-12,H002,Riverside Medical Center,Ciprofloxacin 500mg,126,0,23,103,4,80
2024-12-12,H003,Metro District Hospital,Paracetamol 500mg,270,0,50,220,3,100
2024-12-12,H003,Metro District Hospital,Amoxicillin 250mg,161,0,34,127,5,80
2024-12-12,H003,Metro District Hospital,Ibuprofen 400mg,40,150,35,155,3,60
2024-12-12,H003,Metro District Hospital,Insulin Injection,90,0,15,75,7,50
2024-12-12,H003,Metro District Hospital,Metformin 500mg,222,0,42,180,4,100
2024-12-12,H003,Metro District Hospital,Aspirin 75mg,194,0,34,160,3,90
2024-12-12,H003,Metro District Hospital,Omeprazole 20mg,158,0,28,130,4,70
2024-12-12,H003,Metro District Hospital,Atorvastatin 10mg,118,0,23,95,5,60
2024-12-12,H003,Metro District Hospital,Ceftriaxone 1g Injection,90,0,20,70,7,40
2024-12-12,H003,Metro District Hospital,Ciprofloxacin 500mg,150,0,25,125,4,80
2024-12-13,H001,City General Hospital,Paracetamol 500mg,464,0,49,415,3,100
2024-12-13,H001,City General Hospital,Amoxicillin 250mg,164,0,29,135,5,80
2024-12-13,H001,City General Hospital,Ibuprofen 400mg,189,0,34,155,3,60
2024-12-13,H001,City General Hospital,Insulin Injection,99,0,13,86,7,50
2024-12-13,H001,City General Hospital,Metformin 500mg,215,0,40,175,4,100
2024-12-13,H001,City General Hospital,Aspirin 75mg,203,0,32,171,3,90
2024-12-13,H001,City General Hospital,Omeprazole 20mg,163,0,26,137,4,70
2024-12-13,H001,City General Hospital,Atorvastatin 10mg,128,0,20,108,5,60
2024-12-13,H001,City General Hospital,Ceftriaxone 1g Injection,103,0,17,86,7,40
2024-12-13,H001,City General Hospital,Ciprofloxacin 500mg,148,0,22,126,4,80
2024-12-13,H002,Riverside Medical Center,Paracetamol 500mg,344,0,53,291,3,100
2024-12-13,H002,Riverside Medical Center,Amoxicillin 250mg,195,0,30,165,5,80
2024-12-13,H002,Riverside Medical Center,Ibuprofen 400mg,41,0,26,15,3,60
2024-12-13,H002,Riverside Medical Center,Insulin Injection,54,0,11,43,7,50
2024-12-13,H002,Riverside Medical Center,Metformin 500mg,139,0,44,95,4,100
2024-12-13,H002,Riverside Medical Center,Aspirin 75mg,233,0,36,197,3,90
2024-12-13,H002,Riverside Medical Center,Omeprazole 20mg,108,0,29,79,4,70
2024-12-13,H002,Riverside Medical Center,Atorvastatin 10mg,83,0,24,59,5,60
2024-12-13,H002,Riverside Medical Center,Ceftriaxone 1g Injection,53,0,22,31,7,40
2024-12-13,H002,Riverside Medical Center,Ciprofloxacin 500mg,103,0,26,77,4,80
2024-12-13,H003,Metro District Hospital,Paracetamol 500mg,220,0,52,168,3,100
2024-12-13,H003,Metro District Hospital,Amoxicillin 250mg,127,0,36,91,5,80
2024-12-13,H003,Metro District Hospital,Ibuprofen 400mg,155,0,37,118,3,60
2024-12-13,H003,Metro District Hospital,Insulin Injection,75,0,16,59,7,50
2024-12-13,H003,Metro District Hospital,Metformin 500mg,180,0,43,137,4,100
2024-12-13,H003,Metro District Hospital,Aspirin 75mg,160,0,35,125,3,90
2024-12-13,H003,Metro District Hospital,Omeprazole 20mg,130,0,29,101,4,70
2024-12-13,H003,Metro District Hospital,Atorvastatin 10mg,95,0,24,71,5,60
2024-12-13,H003,Metro District Hospital,Ceftriaxone 1g Injection,70,0,21,49,7,40
2024-12-13,H003,Metro District Hospital,Ciprofloxacin 500mg,125,0,27,98,4,80
2024-12-14,H001,City General Hospital,Paracetamol 500mg,415,0,45,370,3,100
2024-12-14,H001,City General Hospital,Amoxicillin 250mg,135,0,25,110,5,80
2024-12-14,H001,City General Hospital,Ibuprofen 400mg,155,0,30,125,3,60
2024-12-14,H001,City General Hospital,Insulin Injection,86,0,10,76,7,50
2024-12-14,H001,City General Hospital,Metformin 500mg,175,0,35,140,4,100
2024-12-14,H001,City General Hospital,Aspirin 75mg,171,0,28,143,3,90
2024-12-14,H001,City General Hospital,Omeprazole 20mg,137,0,22,115,4,70
2024-12-14,H001,City General Hospital,Atorvastatin 10mg,108,0,17,91,5,60
2024-12-14,H001,City General Hospital,Ceftriaxone 1g Injection,86,0,14,72,7,40
2024-12-14,H001,City General Hospital,Ciprofloxacin 500mg,126,0,19,107,4,80
2024-12-14,H002,Riverside Medical Center,Paracetamol 500mg,291,0,50,241,3,100
2024-12-14,H002,Riverside Medical Center,Amoxicillin 250mg,165,0,28,137,5,80
2024-12-14,H002,Riverside Medical Center,Ibuprofen 400mg,15,200,24,191,3,60
2024-12-14,H002,Riverside Medical Center,Insulin Injection,43,0,14,29,7,50
2024-12-14,H002,Riverside Medical Center,Metformin 500mg,95,0,38,57,4,100
2024-12-14,H002,Riverside Medical Center,Aspirin 75mg,197,0,32,165,3,90
2024-12-14,H002,Riverside Medical Center,Omeprazole 20mg,79,100,25,154,4,70
2024-12-14,H002,Riverside Medical Center,Atorvastatin 10mg,59,0,20,39,5,60
2024-12-14,H002,Riverside Medical Center,Ceftriaxone 1g Injection,31,100,18,113,7,40
2024-12-14,H002,Riverside Medical Center,Ciprofloxacin 500mg,77,0,21,56,4,80
2024-12-14,H003,Metro District Hospital,Paracetamol 500mg,168,0,48,120,3,100
2024-12-14,H003,Metro District Hospital,Amoxicillin 250mg,91,0,32,59,5,80
2024-12-14,H003,Metro District Hospital,Ibuprofen 400mg,118,0,33,85,3,60
2024-12-14,H003,Metro District Hospital,Insulin Injection,59,0,12,47,7,50
2024-12-14,H003,Metro District Hospital,Metformin 500mg,137,0,39,98,4,100
2024-12-14,H003,Metro District Hospital,Aspirin 75mg,125,0,31,94,3,90
2024-12-14,H003,Metro District Hospital,Omeprazole 20mg,101,0,26,75,4,70
2024-12-14,H003,Metro District Hospital,Atorvastatin 10mg,71,0,21,50,5,60
2024-12-14,H003,Metro District Hospital,Ceftriaxone 1g Injection,49,0,17,32,7,40
2024-12-14,H003,Metro District Hospital,Ciprofloxacin 500mg,98,0,23,75,4,80
2024-12-15,H001,City General Hospital,Paracetamol 500mg,370,0,47,323,3,100
2024-12-15,H001,City General Hospital,Amoxicillin 250mg,110,0,26,84,5,80
2024-12-15,H001,City General Hospital,Ibuprofen 400mg,125,0,31,94,3,60
2024-12-15,H001,City General Hospital,Insulin Injection,76,0,11,65,7,50
2024-12-15,H001,City General Hospital,Metformin 500mg,140,0,36,104,4,100
2024-12-15,H001,City General Hospital,Aspirin 75mg,143,0,29,114,3,90
2024-12-15,H001,City General Hospital,Omeprazole 20mg,115,0,23,92,4,70
2024-12-15,H001,City General Hospital,Atorvastatin 10mg,91,0,18,73,5,60
2024-12-15,H001,City General Hospital,Ceftriaxone 1g Injection,72,0,15,57,7,40
2024-12-15,H001,City General Hospital,Ciprofloxacin 500mg,107,0,20,87,4,80
2024-12-15,H002,Riverside Medical Center,Paracetamol 500mg,241,0,51,190,3,100
2024-12-15,H002,Riverside Medical Center,Amoxicillin 250mg,137,0,29,108,5,80
2024-12-15,H002,Riverside Medical Center,Ibuprofen 400mg,191,0,26,165,3,60
2024-12-15,H002,Riverside Medical Center,Insulin Injection,29,0,15,14,7,50
2024-12-15,H002,Riverside Medical Center,Metformin 500mg,57,0,40,17,4,100